16	battleship
19	bay
17	bayou
13	beach
12	bead
14	beak
15	beam
15	bean
12	beanie
14	beanstalk
16	bear
12	beard
17	beast
12	beastie
17	beat
13	beating
19	beauty
16	beaver
14	beck
12	bed
14	bedrock
15	bedroom
12	bee
13	beech
12	beef
16	beer
17	beet
12	beetle
16	beggar
16	beginner
13	beginning
11	begonia
12	behalf
16	behavior
16	behaviour
13	beheading
17	behest
12	behold
13	being
19	belfry
12	belief
16	believer
14	bell
19	belligerency
17	bellows
19	belly
17	belt
15	ben
13	bench
12	bend
19	beneficiary
17	benefit
14	bengal
17	beret
19	berry
16	best-seller
16	bestseller
17	bet
12	beverage
12	beyond
17	bias
19	bibliography
12	bicycle
12	bid
16	bidder
13	bidding
17	bidet
17	bifocals
17	bijou
12	bike
13	bikini
14	bill
12	billboard
13	billing
15	billion
15	bin
17	binoculars
19	biology
19	biopsy
12	biosphere
12	biplane
13	birch
12	bird
16	bird-watcher
13	birdbath
12	birdcage
12	birdhouse
13	birth
19	birthday
17	bit
12	bite
16	bitter
14	black
19	blackberry
12	blackbird
12	blackboard
13	blackfish
17	blackness
16	bladder
12	blade
12	blame
14	blank
17	blanket
17	blast
16	blazer
12	blend
13	blessing
17	blight
12	blind
16	blinker
16	blister
12	blizzard
14	block
16	blocker
13	blog
16	blogger
12	blood
18	bloodflow
15	bloom
16	bloomer
17	bloomers
15	blossom
12	blouse
18	blow
15	blowgun
12	blowhole
12	blue
19	blueberry
13	blush
16	boar
12	board
17	boat
12	boatload
12	boatyard
11	bob
17	bobcat
19	body
13	bog
15	bolero
17	bolt
11	bomb
16	bomber
13	bombing
12	bond
13	bonding
15	bondsman
12	bone
12	bonfire
15	bongo
17	bonnet
13	bonsai
17	bonus
15	boogeyman
14	book
12	bookcase
12	bookend
13	booking
17	booklet
15	boolean
15	boom
15	boon
17	boost
16	booster
17	boot
12	bootee
12	bootie
19	booty
16	border
12	bore
16	borrower
13	borrowing
15	bosom
17	boss
19	botany
16	bother
12	bottle
13	bottling
15	bottom
12	bottom-line
16	boudoir
13	bough
16	boulder
12	boulevard
19	boundary
17	bouquet
12	bourgeoisie
17	bout
12	boutique
18	bow
16	bower
14	bowl
16	bowler
13	bowling
12	bowtie
18	box
16	boxer
13	boxspring
19	boy
17	boycott
12	boyfriend
12	boyhood
11	bra
12	brace
17	bracelet
17	bracket
15	brain
12	brake
13	branch
12	brand
19	brandy
17	brass
12	brassiere
17	bratwurst
12	bread
11	breadcrumb
14	break
15	breakdown
17	breakfast
17	breakpoint
13	breakthrough
17	breast
12	breastplate
13	breath
12	breeze
16	brewer
19	bribery
14	brick
13	bricklaying
12	bride
12	bridge
12	brief
13	briefing
19	briefly
17	briefs
17	brilliant
14	brink
12	broad
17	broadcast
13	broccoli
12	brochure
16	broiler
16	broker
17	bronchitis
15	bronco
12	bronze
13	brooch
12	brood
14	brook
15	broom
16	brother
18	brother-in-law
18	brow
15	brown
16	browser
13	browsing
13	brush
12	brushfire
13	brushing
12	bubble
14	buck
17	bucket
12	buckle
12	bud
19	buddy
17	budget
15	buffalo
16	buffer
17	buffet
13	bug
19	buggy
12	bugle
13	building
11	bulb
14	bulk
14	bull
16	bull-fighter
16	bulldozer
17	bullet
16	bump
16	bumper
15	bun
13	bunch
18	bungalow
12	bunghole
12	bunkhouse
15	burden
17	bureau
16	burglar
14	burial
12	burlesque
15	burn
17	burn-out
13	burning
17	burst
17	bus
13	bush
17	business
15	businessman
17	bust
12	bustle
12	butane
16	butcher
16	butler
16	butter
19	butterfly
15	button
19	buy
16	buyer
13	buying
19	buzz
12	buzzard
16	c-clamp
11	cabana
12	cabbage
15	cabin
17	cabinet
12	cable
12	caboose
15	cacao
17	cactus
19	caddy
17	cadet
12	cafe
12	caffeine
15	caftan
12	cage
12	cake
15	calcification
15	calculation
16	calculator
17	calculus
16	calendar
12	calf
16	caliber
12	calibre
15	calico
14	call
15	calm
14	camel
15	cameo
11	camera
16	camp
15	campaign
13	campaigning
12	campanile
16	camper
17	campus
15	can
14	canal
14	cancel
16	cancer
11	candelabra
19	candidacy
12	candidate
12	candle
19	candy
12	cane
14	cannibal
15	cannon
12	canoe
15	canon
19	canopy
15	canteen
17	canvas
16	cap
19	capability
19	capacity
12	cape
14	capital
15	capitalism
15	capitulation
15	capon
13	cappelletti
15	cappuccino
15	captain
15	caption
16	captor
16	car
15	caravan
15	carbon
14	carboxyl
12	card
12	cardboard
15	cardigan
12	care
16	career
15	cargo
12	carload
15	carnation
14	carnival
14	carol
12	carotene
16	carp
16	carpenter
17	carpet
13	carpeting
17	carport
12	carriage
16	carrier
17	carrot
19	carry
17	cart
14	cartel
16	carter
12	cartilage
12	cartload
15	cartoon
12	cartridge
13	carving
12	cascade
12	case
17	casement
13	cash
16	cashier
15	casino
17	casket
12	casserole
14	cassock
17	cast
17	castanet
12	castle
19	casualty
17	cat
11	catacomb
12	catalogue
17	catalysis
17	catalyst
15	catamaran
12	catastrophe
13	catch
16	catcher
19	category
16	caterpillar
14	cathedral
15	cation
16	catsup
12	cattle
16	cauliflower
14	causal
12	cause
19	causeway
15	caution
12	cave
16	caviar
12	cd
13	ceiling
15	celebration
19	celebrity
11	celeriac
19	celery
14	cell
16	cellar
15	cello
17	celsius
17	cement
19	cemetery
13	cenotaph
17	census
17	cent
16	center
16	centimeter
12	centre
15	centurion
19	century
12	cephalopod
11	ceramic
17	ceramics
14	cereal
19	ceremony
19	certainty
12	certificate
15	certification
14	cesspool
12	chafe
15	chain
19	chainstay
16	chair
17	chairlift
15	chairman
15	chairperson
12	chaise
17	chalet
12	chalice
14	chalk
12	challenge
16	chamber
12	champagne
15	champion
16	championship
12	chance
16	chandelier
12	change
14	channel
17	chaos
16	chap
14	chapel
15	chaplain
16	chapter
16	character
11	characteristic
15	characterization
12	chard
12	charge
19	charity
15	charlatan
15	charm
17	charset
17	chart
16	charter
15	chasm
17	chassis
19	chastity
12	chasuble
17	chateau
16	chatter
16	chauffeur
17	chauvinist
14	check
13	checking
17	checkout
15	checkroom
14	cheek
16	cheer
12	cheese
13	cheetah
12	chef
15	chem
